央视频道,#genre#
CCTV9纪录,http://play.kankanlive.com/live/1698423397390920.m3u8
CCTV12社会与法,http://txycdn.video.qq.com/1755789203.m3u8?time=1788393950&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIH_W01_khncHVkPWpdrXitDdeOiZaAktRpa9EuW6f79SEHqAvk-n5zXTk10NtMMafJ4BcM5FH9kVRQf-4AIlRdHUxkNJpZXj-msXS6L5Jr3uPSQgS1v8p0TqcgHhA58YWGDZLOuHqD5te_hM_pKk4mJL6JSM0R8Sr6rvtQi5Lm7I4vOAXUS76ZBvsZ82NsAadF0nBLZ2VwrQA4KcN9nN2lklvxD22lpSdoUSLt5zmBOS5VRZme2F47mYpw6cC3f1M7G9FjLk77gI9tNoFTy1fOkH0zl95yXD28lXq1hqGgDTd-NLD2iY5kZ66ssAKulEHT4kmU4Yqen61nNC8oVPJzuXXzz8_pL-EvoDxhIXGIN39AANeZAJSOFFNZoLDyD1ye8VKQrzvmWdA5hAxWK-g1bcO7_aWC1yjn5tK7txSGr5kEXfofhHCsSMZyAU6JMzI-JoOHKB_A8L8pDwke1UYj-jpAvNAb5cVakI0oXygDgRpYtQMYsqIP_OHB7D6eK1hASvMfx_BEibvsQw94eQbFKYtISk9jCVz_B42Ai_MBIBXqPw&drmtype=0
CCTV13新闻,http://txycdn.video.qq.com/1369932003.m3u8?time=1788393940&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIFqnaybbJhDNi42mwpcOzwTmUEKVA2o2yQti2H6A5vlnEBiYigDmb4EbKhwEoUmtAh8BcGImHzksf6J-ijvk98EBBE-DijyLoe0iItQUg11gr5geLJZPT8CZ-_jpvMeW1rLls5SOae0kyNS6QI6vllmJvhHGjMIiKKYtZwNwG5EbuYLXlQ0vs2xGP2sLViJBdSShhowPj7Q_rubfmC2_sn_HdsyjYCX2daDtGY5nCt54e49RqTt9CmHEUkGSVFpqAPNuuFw8N_U9HTl_jWf_KAZhLVp-Y7gMw1rIDgLkxp0hR4A_fdlKkMrTPMJbvNtks1wooP9Nrr8XCZkTCYtjaMipR79T-dS70UlSV9dKtTP6eoL7yX12038ZN2TGUjxq2_zCIlKo4l7LIk3vVmNEtKWsq8oe0FqgvgadKbehR0WkopsloWRPQcWEdnn-gGQmAltCwyatILvqyVZR8pAuJGRznUgjX42FNzbsxDrKC6AtRBZZZ8HBavUBS3XUt27TE-tT4U1FZzpniw9XrpmR6MX0YYspm0_xz_CLyKK8RwVsXqUz&drmtype=0
CCTV14少儿,http://txycdn.video.qq.com/1755770103.m3u8?time=1788393929&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIAdsvnL0qZHW-RqqBlpR9b7q4dFrJG6e-TIc9xQKBfOAEPfB-8nMjHEfyfzV2TDgeTkBcBU60V-LsXHuLn7fGY3Lbtalx0K-9Npz0KNoeaJ6C8QVuDYO4S1cswubu2yIa2Cw7Zt9UC_-HtU9HTQnbjpiF1ZVHrH_XHsF7vzX2J9vxSQ1643OTxt23XOw-zVwLKv4gYBW3T-avDVkR9RG8WHS8FwDOviksIK1CwTNz1Qcv0_O6EIy1pK1xCbLaDzdti8685iUGAAwj5kqaeW7CJeWhhrwCxtmvdQCVeV_dLCF2xZ0alyIY4mWdGD2xQZne3DHfg6KdvyUTz2mpTPZEuXG_qdh4Gfd2LdDeCMfZcAMptFMTU-dKaI84Qy2pkpj2_XjmVkr480WutI7xG_y2TRvo0ogkk95sZVTPqwZC6KRn94FMMakFzZeGAyfvxELiYMoL8FEIHqdlS7IbVN8pmwRn4iuC5FH73Dzp3zReGFN4ETCWpFWEQrRMdrt75KrhWb4tUrfLdsmOgnxT5WitxCBRiIOQUXmhVi69V5TpnmwnV1v&drmtype=0
CCTV14少儿,http://txycdn5.video.qq.com/1755770102.m3u8?time=1788358560&cdn=txycdn&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIO4DEQbSV6JsOnp0zGJQeASEPnWgSJhqbMrnTt4m74IPEMZLUgOB2pdsaI7DonlsOOYBcAZ8HFw9EtgLj_eT4ua-XzfG4sz0RArEsVURCwOltkZ6FumjGpVjghF3Kqk10v9rWs1scCv1keGNacq0srYE8u-fwMeiLWAjIrg-WZfMROdmcUlp8x5-qr5bphJQa83kq1piEA0KcSojO-72EaBVasaZJ_F4iwV2LW1FPv0sBVvZ1-9MmnLxiHP3uXF1ajJClGGZHICuQ5OyktPdXVGzIvJKiBo_mg2bH3M0ioE-YiPTlJtrja7fjPrNqwBLXDwaL0FuVoxll9DdcUn-O_0QiPUlcWD6YJ89cxAOzHj_LGNqHbJDaq_8DkkVfn4DyICFJwKHr3BSjwDtZoQzFYMm2GQSyDhu-O-bAI9BCCQpyI7zVQldNWbkO5eCoCquPGUe_42fUU6ikm8xD9oEsO0hgWUhcaR4O03wTGhRV6XIJC8BiE2KCPCyfZf9xkdSoo-usGbDFvsV98e1vrjXe9Tan0tRddZ3mFxWtbXr_sj2fZWP&drmtype=0
CCTV15音乐,http://txycdn.video.qq.com/1370782103.m3u8?time=1788394466&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIEBCuckTp2FRRZWy61fXIpWcWaGgt-uJHWvA-7f3k_ziEMvmYiSqQhEllTZwc4ugiAkBcOoojhMT_vuxSqF7_3Lkayx_qUgUCi1IJLMqwCJH5WxvPB6enoyICR_EuJM6xXHw0OAD3DvkUXbavv2foHbPZ5TKUDsyDO0CblOjJ0ex1VarI3C4oPeakf05LeR4T5R73krwtJWFN7R_dPIBBzPWt4O0LqK7zJI0h2-Dc71Sr82S6BVa-j91WdGV48v4ByayZA_tW2cOUC6UcgV5TJ3tLvBl2h8adRHuiwG351YaV_x5XmxgDdZUVhEGfo7Y7feYlIJeqaKXGHDQhAOTdnkVosHGC2qhQBtu_4xGzXbgOa8riZN56XTb0J169uw7ot24oTPUGfN1gHPBso9aTmXcRdcga_Jy5mBLlUJbzT43iSIxKIZYYw2t1pYI-CIzn0vDudP5hshpFpYPNLYqHz8ITlIZJmEV3cEfKASe3JtfTM1nDbcSMe0jug8I8c8k9kLYGlpA-JnkeTbU4Ve49gRLdM5QuQFUMhw0KhgBXIsWVCXW&drmtype=0
CCTV15音乐,http://txycdn7.video.qq.com/1370782102.m3u8?time=1788358550&cdn=txycdn&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIPPTiXzjVFZBhMmgzfMZF5zSWIH4QeOg6aJ6jxP-eWCwEO2WWBibZer9wAkgKZOQpIkBcAFNzty75ab4TKrgvM89g1l6l95VgSPGk-_UZSEdkgSnIQISYSXhPDo-Sxd0HWLJEy7IXMpkPldYa3hlr0znhdF7Xg44XU0gK74k7nauY0Ae_nmrp656cL-8BzGj3NLsoHdHlH4AyOM8wTzhKIyZx80v9ttUa0X7M8ieGLQb-yEffzfz18oBN-pRF7KnoHZvvoljIN7-q9dn_pO1ieavnkB17xbR2YJCJShyvMRF3QTKhh-Ic-hdu-jbA884LMH644PXdQkqtdua3u4VCWxgG7cc2MRtC-0Cb4cuJuW9mV9A1-Vcq4-8LsfdV_umP0KDW1FO-QNu7vYR5yTEiXf4-3fafJUgQYeYAtmU8xp7Jm_p_x0xOw9QLlVuatfkkLQMmlne7JGM09x5M4WLBGPl8emwEIlSQrKWeD1qszMmvdOHVk-ScCpinnGE3oUHfBLi2CskJcOYYgLQtkF9KEEYenb6Ea_AYpmCSZ3LE0iH6nHZ&drmtype=0
CCTV16奥林匹克,http://txycdn.video.qq.com/1370437803.m3u8?time=1788393909&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgIJ0wbktlCGEH3MheU9pLdRRbB18L3RzjzptFA99qHGlREDwKZNJ0dm8fMMSVpjfbpMcBcFhDPwzkqzzq9dlcSH89lOjSWJvl03OIGGBjwHZxYVfIWoFqW9E7QRsDL62cjWjd2owJVBonpVDjFhVGwgb05Sb3zHjUE4ssOLurIXk-FXKF_vw8jaX_Qxui52JnvK9tm_aD19T3YazZwyLJFT2cTYpB8zey0XaSDD1LmYhitwmZpTWEVd5-cMnkVFQwL9nIMddwaO5Ah6ipvi1VOw5YfEEmpedE_27JhoPOS_GMynf4wDvmGm0ebFu0cc2MLuDkgYVs3rNEM2L7PuA8_vQT76C9kbYCx5NSCACzbn6iJTI7-vipWozsvhcBEWNABGVbsvy-ij9bZDmyi7eA01tIMFKczBvTMJrpGoZaB2gofybVsiAu1wup5Ln1NX4jgov6Y0INxW_K4QyQvlnyzJhRhg8ko5pMyWQwOwh0Jrqb1wFzB5YErTRKrkX2DwTyZoyLzA8nrG3PQIx12-cFladN3MqMPmjX8j6ihUPmrdshbqj0&drmtype=0
CCTV17农业农村,http://txycdn.video.qq.com/1370437903.m3u8?time=1788393898&from=player&cdn=tcloud&sdtfrom=v401010931632&platform=4010603&butype=31&HLSP2P=1&vkey=nvkey_AQQgILngM3KWSZAqTrGZRIz85fJte7ma1KmqlDl7m0G0kKLyEFznykMZ-jd86GA2rNqG4jkBcHTuVWlxsnCl_4jtYkb6eaDlbYsSzfeg0kCzUyF4RzTfMqgiUaBEcg5xLD6a6mIsJIKrTrL99cGHM6wiE5-8K0umHNYkTveFM1-e2EFqIP7W7UGdVJgxOVgWZSi3WLGBbEVLK5MYcIPb5rimDM3ddK9W4D76CDNQ5NEhh4LOIOKuviEPWvocEUvqXuv32H90dirwJdwzwJyftB16ouITK5w4M-qEuWHaC8FmJvSYIq3oVPkkOZ4BtfqEL1LXGLJjSfFIYIZQVD_kmrDRylnZDspZOXyQ2T6sInTApVfY6Qe7lbZSAeKgQ8imZgHxkudZkpt7uym6M03ltao5gtgmSGjJN4_WFzilOa_42xaJrjW-VTrspopPKBt7CbP2c9awkjiN1S8d0pM-CH3-vKSag74N3A3umBLlSATRi6P-QRZrt-lHJuJwJBa816pqwj2pBI40bdwUkKwCmkfcuNehmz1RXdVDroq8hbqTQxDsHNru&drmtype=0
CCTV高尔夫网球,http://38.75.136.137:98/gslb/dsdqpub/gefwq.m3u8?auth=testpub
